subcatchment,region,subcat_area,grid_index,grid_weight,x,y
SC #90650,BM,68811300.0,168776,0.03702232193418646,151.4000000000001,-24.099999999999937
SC #90650,BM,68811300.0,168777,0.05854412223882774,151.45000000000002,-24.099999999999937
SC #90650,BM,68811300.0,169545,0.27086469292940885,151.4000000000001,-24.049999999999955
SC #90650,BM,68811300.0,169546,0.062244351525965184,151.45000000000005,-24.049999999999955
SC #90650,BM,68811300.0,170311,0.04670362984079046,151.3500000000001,-23.999999999999968
SC #90650,BM,68811300.0,170312,0.3713156815663893,151.4000000000001,-23.99999999999997
SC #90650,BM,68811300.0,170313,0.034022400281580864,151.45000000000002,-23.99999999999997
SC #90650,BM,68811300.0,171077,0.02555992427448578,151.3500000000001,-23.949999999999957
SC #90650,BM,68811300.0,171078,0.09372287540836537,151.4000000000001,-23.94999999999996
SC #90653,BM,226494000.0,166469,0.01506933128140909,151.75000000000006,-24.249999999999975
SC #90653,BM,226494000.0,166470,0.004030585794568885,151.80000000000007,-24.249999999999968
SC #90653,BM,226494000.0,167241,0.0683700229145214,151.75000000000006,-24.199999999999964
SC #90653,BM,226494000.0,167242,0.07508241280216778,151.80000000000007,-24.19999999999996
SC #90653,BM,226494000.0,167243,0.03724316937319813,151.85000000000008,-24.199999999999964
SC #90653,BM,226494000.0,168011,0.004577297593175869,151.70000000000005,-24.14999999999995
SC #90653,BM,226494000.0,168012,0.11225126967882267,151.75000000000006,-24.14999999999995
SC #90653,BM,226494000.0,168013,0.08535939148742117,151.80000000000007,-24.14999999999995
SC #90653,BM,226494000.0,168014,0.006836450711589269,151.85000000000008,-24.14999999999995
SC #90653,BM,226494000.0,168781,0.0003837219017479319,151.6500000000001,-24.099999999999937
SC #90653,BM,226494000.0,168782,0.07047926832687115,151.70000000000005,-24.099999999999937
SC #90653,BM,226494000.0,168783,0.12146570558003912,151.75000000000006,-24.09999999999994
SC #90653,BM,226494000.0,168784,0.009017581861316364,151.80000000000007,-24.099999999999937
SC #90653,BM,226494000.0,169550,0.031270886456788105,151.65000000000012,-24.049999999999955
SC #90653,BM,226494000.0,169551,0.10001760015872749,151.70000000000005,-24.049999999999955
SC #90653,BM,226494000.0,169552,0.08210487074739445,151.75000000000003,-24.04999999999995
SC #90653,BM,226494000.0,170315,0.028126516740456502,151.60000000000005,-23.999999999999968
SC #90653,BM,226494000.0,170316,0.09782353794118875,151.6500000000001,-23.99999999999997
SC #90653,BM,226494000.0,170317,0.03577108098949685,151.70000000000005,-23.99999999999997
SC #90653,BM,226494000.0,170318,0.014433351090291272,151.75000000000006,-23.999999999999968
SC #90651,BM,68786100.0,168007,0.03368201436404015,151.50000000000006,-24.14999999999995
SC #90651,BM,68786100.0,168008,0.03623857336122552,151.55000000000007,-24.14999999999995
SC #90651,BM,68786100.0,168777,0.06553951300814898,151.45000000000002,-24.099999999999937
SC #90651,BM,68786100.0,168778,0.32237097488001804,151.50000000000006,-24.09999999999994
SC #90651,BM,68786100.0,168779,0.1795752824093361,151.55000000000007,-24.099999999999937
SC #90651,BM,68786100.0,169546,0.15181835081993167,151.45000000000005,-24.049999999999955
SC #90651,BM,68786100.0,169547,0.20682213982779615,151.50000000000009,-24.04999999999995
SC #90651,BM,68786100.0,169548,0.003953151329503334,151.55000000000007,-24.049999999999955
SC #90652,BM,101959200.0,167239,0.029898577095759896,151.6500000000001,-24.19999999999996
SC #90652,BM,101959200.0,168009,0.014751605209738259,151.60000000000005,-24.14999999999995
SC #90652,BM,101959200.0,168010,0.19861389507868385,151.6500000000001,-24.14999999999995
SC #90652,BM,101959200.0,168011,0.0017310406273608,151.70000000000005,-24.14999999999995
SC #90652,BM,101959200.0,168779,0.048220860130891656,151.55000000000007,-24.099999999999937
SC #90652,BM,101959200.0,168780,0.2234197112583819,151.60000000000005,-24.09999999999994
SC #90652,BM,101959200.0,168781,0.23756895144509438,151.6500000000001,-24.099999999999937
SC #90652,BM,101959200.0,168782,0.006426697515376972,151.70000000000005,-24.099999999999937
SC #90652,BM,101959200.0,169548,0.05937661052298551,151.55000000000007,-24.049999999999955
SC #90652,BM,101959200.0,169549,0.1516641703275907,151.60000000000008,-24.04999999999995
SC #90652,BM,101959200.0,169550,0.028327880788136056,151.65000000000012,-24.049999999999955
SC #1,BM,82304100.0,167235,0.07446049729060196,151.45000000000002,-24.19999999999996
SC #1,BM,82304100.0,167236,0.09669591187579744,151.50000000000006,-24.199999999999964
SC #1,BM,82304100.0,168006,0.2215525136249279,151.45000000000002,-24.14999999999995
SC #1,BM,82304100.0,168007,0.27278002340868773,151.50000000000006,-24.14999999999995
SC #1,BM,82304100.0,168776,0.04132677277932709,151.4000000000001,-24.099999999999937
SC #1,BM,82304100.0,168777,0.2250053483392353,151.45000000000002,-24.099999999999937
SC #1,BM,82304100.0,168778,0.06817893268142255,151.50000000000006,-24.09999999999994
SC #2,BM,131067000.0,166466,0.0003463664379746548,151.60000000000005,-24.249999999999975
SC #2,BM,131067000.0,167236,0.08124244660746441,151.50000000000006,-24.199999999999964
SC #2,BM,131067000.0,167237,0.16169101858108947,151.55000000000007,-24.19999999999996
SC #2,BM,131067000.0,167238,0.16759954816601652,151.60000000000005,-24.199999999999964
SC #2,BM,131067000.0,167239,0.050134202419648624,151.6500000000001,-24.19999999999996
SC #2,BM,131067000.0,168007,0.02574745515717327,151.50000000000006,-24.14999999999995
SC #2,BM,131067000.0,168008,0.19569914857902163,151.55000000000007,-24.14999999999995
SC #2,BM,131067000.0,168009,0.2032422239927905,151.60000000000005,-24.14999999999995
